"key","en","de","fr","ar","es","it"
"Add money using a debit card entered securely with Stripe.","Add money using a debit card entered securely with Stripe.","Laden Sie Guthaben mit einer Debitkarte auf, die sicher mit Stripe eingegeben wurde.","Ajoutez de l'argent en utilisant une carte de débit saisie de manière sécurisée avec Stripe.","أضف الأموال باستخدام بطاقة الخصم المباشر التي تم إدخالها بشكل آمن باستخدام الرمز Stripe.","Agregar dinero usando una tarjeta de débito ingresada de forma segura con Stripe.","Aggiungi fondi utilizzando una carta di debito inserita in modo sicuro tramite Stripe."
"Add photos, item details, helper needs, and moving time before choosing the pickup location.","Add photos, item details, helper needs, and moving time before choosing the pickup location.","Fügen Sie Fotos, Artikeldetails, benötigte Helfer und die gewünschte Umzugszeit hinzu, bevor Sie den Abholort auswählen.","Ajoutez des photos, les détails de l'article, vos besoins en aide et l'heure du déménagement avant de choisir le lieu de prise en charge.","أضف الصور وتفاصيل المنتج واحتياجات المساعدة ووقت النقل قبل اختيار موقع الاستلام.","Añade fotos, detalles del artículo, necesidades de ayuda y tiempo de mudanza antes de elegir el lugar de recogida.","Aggiungi foto, dettagli degli articoli, necessità di aiutanti e orario del trasloco prima di scegliere il luogo di ritiro."
"Add size, weight, timing, and handling notes before choosing the pickup location.","Add size, weight, timing, and handling notes before choosing the pickup location.","Fügen Sie vor der Auswahl des Abholorts Hinweise zu Größe, Gewicht, Zeitpunkt und Handhabung hinzu.","Ajoutez des notes concernant la taille, le poids, le délai et la manutention avant de choisir le lieu de prise en charge.","أضف ملاحظات حول الحجم والوزن والتوقيت والتعامل قبل اختيار موقع الاستلام.","Antes de elegir el lugar de recogida, añada notas sobre el tamaño, el peso, el tiempo de entrega y las condiciones de manipulación.","Aggiungi dimensioni, peso, tempistica e note sulla movimentazione prima di scegliere il luogo di ritiro."
"Add the motorcycle details, pickup timing and photos before choosing the route.","Add the motorcycle details, pickup timing and photos before choosing the route.","Fügen Sie die Motorraddetails, die Abholzeit und Fotos hinzu, bevor Sie die Route auswählen.","Ajoutez les détails de la moto, l'heure de prise en charge et des photos avant de choisir l'itinéraire.","أضف تفاصيل الدراجة النارية، وتوقيت الاستلام، والصور قبل اختيار المسار.","Añade los detalles de la motocicleta, la hora de recogida y las fotos antes de elegir la ruta.","Aggiungi i dettagli della moto, l'orario di ritiro e le foto prima di scegliere il percorso."
"Added:","Added:","Hinzugefügt:","Ajouté :","تمت الإضافة:","Agregado:","Aggiunto:"
"Additional Charges","Additional Charges","Zusätzliche Gebühren","Frais supplémentaires","رسوم إضافية","Cargos adicionales","Costi aggiuntivi"
"Additional charge","Additional charge","Aufpreis","Frais supplémentaires","رسوم إضافية","cargo adicional","Costo aggiuntivo"
"Additional charge added","Additional charge added","Zusätzlicher Aufschlag wird erhoben","Frais supplémentaires ajoutés","تمت إضافة رسوم إضافية","Se añade un cargo adicional","Costo aggiuntivo inserito"
"Additional charges failed: {{value0}}","Additional charges failed: {{value0}}","Zusätzliche Gebühren fehlgeschlagen: {{value0}}","Les frais supplémentaires ont échoué : {{value0}}","فشلت عمليات الاحتيال الإضافية: {{value0}}","Los cargos adicionales fallaron: {{value0}}","Errore nel caricamento dei costi aggiuntivi: {{value0}}"
"Additional notes","Additional notes","Zusätzliche Anmerkungen","Notes complémentaires","ملاحظات إضافية","Notas adicionales","Note aggiuntive"
"Additional notes cannot exceed {{value0}} characters.","Additional notes cannot exceed {{value0}} characters.","Zusätzliche Anmerkungen dürfen {{value0}} Zeichen nicht überschreiten.","Les notes supplémentaires ne peuvent pas dépasser {{value0}} caractères.","لا يمكن أن تتجاوز الملاحظات الإضافية عدد الأحرف {{value0}}.","Las notas adicionales no pueden exceder los {{value0}} caracteres.","Le note aggiuntive non possono superare {{value0}} caratteri."
"After pickup: automatic cancellation is not available and the case goes to manual review.","After pickup: automatic cancellation is not available and the case goes to manual review.","Nach der Abholung: Eine automatische Stornierung ist nicht möglich und der Fall wird manuell geprüft.","Après la prise en charge : l’annulation automatique n’est pas possible et le dossier fait l’objet d’un examen manuel.","بعد الاستلام: لا يتوفر الإلغاء التلقائي، وتتم مراجعة الحالة يدويًا.","Tras la recogida: la cancelación automática no está disponible y el caso pasa a revisión manual.","Dopo il ritiro: la cancellazione automatica non è disponibile e il caso viene sottoposto a revisione manuale."
"Agree to Terms of Service and Privacy Policy","Agree to Terms of Service and Privacy Policy","","","","","Accetta i Termini di servizio e l'Informativa sulla privacy"
"Agreed amount","Agreed amount","Vereinbarter Betrag","Montant convenu","المبلغ المتفق عليه","Cantidad acordada","Importo concordato"
"Alerts","Alerts","Warnmeldungen","Alertes","التنبيهات","Alertas","Avvisi"
"All offers are no longer pending.","All offers are no longer pending.","Alle Angebote sind nicht mehr in Bearbeitung.","Toutes les offres ne sont plus en suspens.","جميع العروض لم تعد معلقة.","Todas las ofertas ya no están pendientes.","Non ci sono più offerte in sospeso."
"Already have an account? Sign in","Already have an account? Sign in","Sie haben bereits ein Konto? Anmelden","Vous avez déjà un compte ? Connectez-vous","لديك حساب بالفعل؟ سجّل الدخول","¿Ya tienes una cuenta? Inicia sesión","Hai già un account? Accedi"
"Amount","Amount","Menge","Montant","كمية","Cantidad","Importo"
"Android USB device","Android USB device","Android USB-Gerät","Dispositif USB Android","جهاز USB Android","Dispositivo USB Android","Dispositivo Android USB"
"Android emulator","Android emulator","Android-Emulator","Émulateur Android","محاكي Android","emulador Android","Emulatore Android"
"Android, iOS, and web support","Android, iOS, and web support","Android-, iOS- und Web-Unterstützung","Prise en charge d'Android, iOS et Web","دعم Android وiOS والويب","Compatibilidad con Android, iOS y web","Supporto Android, iOS e Web"
"Animations","Animations","Animationen","Animations","الرسوم المتحركة","Animaciones","Animazioni"
"App Wallet","App Wallet","App-Guthaben","Portefeuille d'application","محفظة التطبيقات","Monedero de aplicaciones","Portafoglio dell'app"
"App wallet","App wallet","App-Wallet","Portefeuille d'applications","محفظة التطبيقات","Monedero de aplicación","Portafoglio dell'app"
"Apple Pay","Apple Pay","Apple Pay","Apple Pay","Apple Pay","Apple Pay","Apple Pay"
"Apple Pay and Google Pay require a development build or production build. They are not available in Expo Go.","Apple Pay and Google Pay require a development build or production build. They are not available in Expo Go.","Apple Pay und Google Pay erfordern eine Entwicklungs- oder Produktionsversion. Sie sind in Expo Go nicht verfügbar.","Apple Pay et Google Pay nécessitent une version de développement ou de production. Ils ne sont pas disponibles dans Expo Go.","يتطلب كل من Apple Pay و Google Pay إصدارًا تجريبيًا أو إصدارًا إنتاجيًا. وهما غير متوفرين في Expo Go.","Apple Pay y Google Pay requieren una versión de desarrollo o de producción. No están disponibles en Expo Go.","Apple Pay e Google Pay richiedono una build di sviluppo o di produzione. Non sono disponibili in Expo Go."
"Apple Pay is currently unavailable on this device.","Apple Pay is currently unavailable on this device.","Apple Pay ist auf diesem Gerät derzeit nicht verfügbar.","Apple Pay n'est actuellement pas disponible sur cet appareil.","Apple Pay غير متوفر حاليًا على هذا الجهاز.","Apple Pay no está disponible actualmente en este dispositivo.","Apple Pay non è attualmente disponibile su questo dispositivo."
"Apple Pay is not configured. Set EXPO_PUBLIC_STRIPE_MERCHANT_IDENTIFIER and rebuild the iOS app.","Apple Pay is not configured. Set EXPO_PUBLIC_STRIPE_MERCHANT_IDENTIFIER and rebuild the iOS app.","Apple Pay ist nicht konfiguriert. Legen Sie EXPO_PUBLIC_STRIPE_MERCHANT_IDENTIFIER fest und erstellen Sie die Anwendung iOS neu.","Apple Pay n'est pas configuré. Configurez EXPO_PUBLIC_STRIPE_MERCHANT_IDENTIFIER et recompilez l'application iOS.","لم يتم تكوين Apple Pay. قم بتعيين EXPO_PUBLIC_STRIPE_MERCHANT_IDENTIFIER وأعد بناء تطبيق iOS.","Apple Pay no está configurado. Configure EXPO_PUBLIC_STRIPE_MERCHANT_IDENTIFIER y vuelva a compilar la aplicación iOS.","Apple Pay non è configurato. Imposta EXPO_PUBLIC_STRIPE_MERCHANT_IDENTIFIER e ricompila l'app iOS."
"Apple Pay is not configured. Set EXPO_PUBLIC_STRIPE_MERCHANT_IDENTIFIER to your real Apple merchant identifier and rebuild the iOS app.","Apple Pay is not configured. Set EXPO_PUBLIC_STRIPE_MERCHANT_IDENTIFIER to your real Apple merchant identifier and rebuild the iOS app.","Apple Pay ist nicht konfiguriert. Legen Sie für EXPO_PUBLIC_STRIPE_MERCHANT_IDENTIFIER Ihre tatsächliche Apple-Händlerkennung fest und erstellen Sie die App iOS neu.","Apple Pay n'est pas configuré. Attribuez à EXPO_PUBLIC_STRIPE_MERCHANT_IDENTIFIER votre véritable identifiant marchand Apple et recréez l'application iOS.","لم يتم تكوين Apple Pay. قم بتعيين EXPO_PUBLIC_STRIPE_MERCHANT_IDENTIFIER إلى مُعرّف تاجر Apple الحقيقي الخاص بك وأعد بناء تطبيق iOS.","Apple Pay no está configurado. Configure EXPO_PUBLIC_STRIPE_MERCHANT_IDENTIFIER con su identificador de comercio real de Apple y vuelva a compilar la aplicación iOS.","Apple Pay non è configurato. Imposta EXPO_PUBLIC_STRIPE_MERCHANT_IDENTIFIER con il tuo vero identificatore commerciante Apple e ricompila l'app iOS."
"Apple Pay is only available on iOS.","Apple Pay is only available on iOS.","Apple Pay ist nur auf iOS verfügbar.","Apple Pay est uniquement disponible sur iOS.","Apple Pay متوفر فقط على iOS.","Apple Pay solo está disponible en iOS.","Apple Pay è disponibile solo su iOS."
"Approx. Weight (kg)","Approx. Weight (kg)","Ungefähres Gewicht (kg)","Poids approximatif (kg)","الوزن التقريبي (كجم)","Peso aproximado (kg)","Peso approssimativo (kg)"
"Approximate Number of Items","Approximate Number of Items","Ungefähre Anzahl der Artikel","Nombre approximatif d'articles","عدد العناصر التقريبي","Número aproximado de artículos","Numero approssimativo di articoli"
"Approximate item count must be at least 1.","Approximate item count must be at least 1.","Die ungefähre Anzahl der Artikel muss mindestens 1 betragen.","Le nombre approximatif d'articles doit être d'au moins 1.","يجب أن يكون عدد العناصر التقريبي 1 على الأقل.","El número aproximado de artículos debe ser de al menos 1.","Il numero approssimativo di articoli deve essere almeno 1."
"Approximate item count:","Approximate item count:","Ungefähre Stückzahl:","Nombre approximatif d'articles :","عدد الأصناف التقريبي:","Cantidad aproximada de artículos:","Numero approssimativo di articoli:"
"Approximate weight","Approximate weight","Ungefähres Gewicht","Poids approximatif","الوزن التقريبي","Peso aproximado","Peso approssimativo"
"Approximate weight must be greater than 0.","Approximate weight must be greater than 0.","Das ungefähre Gewicht muss größer als 0 sein.","Le poids approximatif doit être supérieur à 0.","يجب أن يكون الوزن التقريبي أكبر من 0.","El peso aproximado debe ser mayor que 0.","Il peso approssimativo deve essere maggiore di 0."
"Approximate weight:","Approximate weight:","Ungefähres Gewicht:","Poids approximatif :","الوزن التقريبي:","Peso aproximado:","Peso approssimativo:"
"Arabic","Arabic","Arabisch","arabe","عربي","árabe","Arabo"
"Assigned driver","Assigned driver","Zugewiesener Fahrer","Chauffeur désigné","السائق المعين","Conductor asignado","Autista assegnato"
"Available balance","Available balance","Verfügbares Guthaben","Solde disponible","الرصيد المتاح","Saldo disponible","Saldo disponibile"
"BMW 320i 2020 / Sofa set / 10 moving boxes","BMW 320i 2020 / Sofa set / 10 moving boxes","BMW 320i 2020 / Sofagarnitur / 10 Umzugskartons","BMW 320i 2020 / Ensemble canapé / 10 cartons de déménagement","بي إم دبليو 320i موديل 2020 / طقم كنب / 10 صناديق نقل","BMW 320i 2020 / Juego de sofás / 10 cajas de mudanza","BMW 320i 2020 / Set di divani / 10 scatole da trasloco"
"Back","Back","Zurück","Retour","رجوع","Atrás","Indietro"
"Back to Offers","Back to Offers","Zurück zu den Angeboten","Retour aux offres","العودة إلى العروض","Volver a las ofertas","Torna alle offerte"
"Back to Sign in","Back to Sign in","Zurück zur Anmeldung","Retour à la connexion","العودة إلى تسجيل الدخول","Volver a iniciar sesión","Torna all'accesso"
"Back to request status","Back to request status","Zurück zum Anfragestatus","Retour à l'état de la demande","العودة إلى حالة الطلب","Volver al estado de la solicitud","Torna allo stato della richiesta"
"Back to sign in","Back to sign in","Zurück zur Anmeldeseite","Retour à la page de connexion","العودة إلى تسجيل الدخول","Volver a iniciar sesión","Torna all'accesso"
"Battery is dead","Battery is dead","Die Batterie ist leer.","La batterie est déchargée.","البطارية فارغة","La batería está agotada.","Batteria scarica"
"Before pickup: 85% is refunded automatically and 15% is kept as the cancellation fee.","Before pickup: 85% is refunded automatically and 15% is kept as the cancellation fee.","Vor der Abholung: 85 % werden automatisch zurückerstattet, 15 % werden als Stornogebühr einbehalten.","Avant la prise en charge : 85 % sont remboursés automatiquement et 15 % sont retenus à titre de frais d’annulation.","قبل الاستلام: يتم استرداد 85% تلقائيًا ويتم الاحتفاظ بنسبة 15% كرسوم إلغاء.","Antes de la recogida: se reembolsa automáticamente el 85 % y se retiene el 15 % restante como cargo por cancelación.","Prima del ritiro: l'85% viene rimborsato automaticamente e il 15% viene trattenuto come commissione di cancellazione."
"Best for","Best for","Am besten geeignet für","Idéal pour","الأفضل لـ","Lo mejor para","Ideale per"
"Bikes, scooters and motorbikes.","Bikes, scooters and motorbikes.","Fahrräder, Roller und Motorräder.","Vélos, scooters et motos.","الدراجات الهوائية، والدراجات البخارية، والدراجات النارية.","Bicicletas, patinetes y motocicletas.","Biciclette, scooter e motociclette."
"Body Type","Body Type","Karosserietyp","Type de corps","نوع الجسم","Tipo de cuerpo","Tipo di carrozzeria"
"Body class:","Body class:","Körperklasse:","Catégorie corporelle :","فئة الجسم:","Clase de cuerpo:","Tipo di carrozzeria:"
"Brand (optional)","Brand (optional)","Marke (optional)","Marque (facultatif)","العلامة التجارية (اختياري)","Marca (opcional)","Marca (facoltativa)"
"Brand/Model/Year: {{brand}} / {{model}} / {{year}}","Brand/Model/Year: {{brand}} / {{model}} / {{year}}","Marke/Modell/Jahr: {{brand}} / {{model}} / {{year}}","Marque/Modèle/Année : {{brand}} / {{model}} / {{year}}","العلامة التجارية/الطراز/السنة: {{brand}} / {{model}} / {{year}}","Marca/Modelo/Año: {{brand}} / {{model}} / {{year}}","Marca/Modello/Anno: {{brand}} / {{model}} / {{year}}"
"By continuing, you agree to our Terms and Privacy Policy.","By continuing, you agree to our Terms and Privacy Policy.","Mit dem Fortfahren stimmen Sie unseren Nutzungsbedingungen und unserer Datenschutzrichtlinie zu.","En continuant, vous acceptez nos Conditions d’utilisation et notre Politique de confidentialité.","بالمتابعة، أنت توافق على الشروط وسياسة الخصوصية.","Al continuar, aceptas nuestros Términos y Política de privacidad.","Continuando, accetti i nostri Termini di servizio e l'Informativa sulla privacy."
"Camera permission is needed to take photos.","Camera permission is needed to take photos.","Für das Fotografieren wird eine Kameraerlaubnis benötigt.","L'autorisation de prendre des photos est nécessaire.","يلزم الحصول على إذن لاستخدام الكاميرا لالتقاط الصور.","Se necesita permiso para tomar fotografías.","È necessario il permesso di accesso alla fotocamera per scattare foto."
"Can be driven","Can be driven","Kann gefahren werden","Peut être conduit","يمكن قيادتها","Se puede conducir","Può essere guidato"
"Can help loading:","Can help loading:","Kann beim Laden helfen:","Peut aider au chargement :","يمكن أن يساعد في التحميل:","Puede ayudar a cargar:","Può aiutare con il carico:"
"Cancel","Cancel","Abbrechen","Annuler","إلغاء","Cancelar","Annulla"
"Cancel Order","Cancel Order","Bestellung stornieren","Annuler la commande","إلغاء الطلب","Cancelar pedido","Annulla ordine"
"Cancel now: refund","Cancel now: refund","Jetzt stornieren: Rückerstattung","Annulation immédiate : remboursement","ألغِ الآن: استرداد المبلغ","Cancelar ahora: reembolso","Annulla ora: rimborso"
"Cancel now: refund {{refund}} and keep fee {{fee}}.","Cancel now: refund {{refund}} and keep fee {{fee}}.","Jetzt stornieren: Rückerstattung {{refund}} und Einbehaltung der Gebühr {{fee}}.","Annulation immédiate : remboursement de {{refund}} et conservation des frais {{fee}}.","قم بالإلغاء الآن: سيتم استرداد المبلغ {{refund}} والاحتفاظ بالرسوم {{fee}}.","Cancela ahora: reembolso {{refund}} y retención de la tarifa {{fee}}.","Annulla ora: rimborso di {{refund}} e commissione trattenuta di {{fee}}."
"Cancel trip","Cancel trip","Reise stornieren","Annulation du voyage","إلغاء الرحلة","Cancelar viaje","Annulla trasporto"
"Cancel trip?","Cancel trip?","Reise stornieren?","Annuler le voyage ?","هل ألغيت الرحلة؟","¿Cancelar el viaje?","Annullare il trasporto?"
"Cancellation policy","Cancellation policy","Stornierungsbedingungen","Politique d'annulation","سياسة الإلغاء","Política de cancelación","Politica di cancellazione"
"Cancelled","Cancelled","Storniert","Annulé","ملغى","Cancelado","Annullati"
"Cancelling…","Cancelling…","Stornierung…","Annulation…","إلغاء…","Cancelado…","Annullamento…"
"Cannot be towed normally","Cannot be towed normally","Kann nicht normal abgeschleppt werden.","Ne peut pas être remorqué normalement","لا يمكن سحبها بشكل طبيعي","No se puede remolcar normalmente","Non può essere trainato normalmente"
"Cannot connect socket without auth token.","Cannot connect socket without auth token.","Ohne Authentifizierungstoken kann keine Verbindung zum Socket hergestellt werden.","Impossible de connecter le socket sans jeton d'authentification.","لا يمكن توصيل المقبس بدون رمز المصادقة.","No se puede conectar el socket sin token de autenticación.","Impossibile connettere il socket senza token di autenticazione."
"Cannot reach backend at {{value0}}. Verify {{value1}} and backend network access. {{value2}}.","Cannot reach backend at {{value0}}. Verify {{value1}} and backend network access. {{value2}}.","Das Backend unter {{value0}} ist nicht erreichbar. Bitte überprüfen Sie {{value1}} und den Netzwerkzugriff des Backends. {{value2}}.","Impossible de joindre le serveur dorsal à l'adresse {{value0}}. Vérifiez l'accès réseau au serveur dorsal ({{value1}} et {{value2}}).","لا يمكن الوصول إلى الخادم الخلفي على العنوان {{value0}}. يرجى التحقق من الوصول إلى شبكة الخادم الخلفي على العنوان {{value1}}. {{value2}}.","No se puede acceder al servidor en {{value0}}. Verifique {{value1}} y el acceso a la red del servidor. {{value2}}.","Impossibile raggiungere il backend all'indirizzo {{value0}}. Verifica {{value1}} e l'accesso di rete al backend. {{value2}}."
"Card Details","Card Details","Kartendetails","Détails de la carte","تفاصيل البطاقة","Detalles de la tarjeta","Dettagli della carta"
"Card details","Card details","Kartendetails","Détails de la carte","تفاصيل البطاقة","Datos de la tarjeta","Dettagli della carta"
"Cars, SUVs, vans and trucks.","Cars, SUVs, vans and trucks.","Pkw, Geländewagen, Lieferwagen und Lastwagen.","Voitures, VUS, fourgonnettes et camions.","السيارات، وسيارات الدفع الرباعي، والشاحنات الصغيرة، والشاحنات.","Automóviles, SUV, furgonetas y camiones.","Auto, SUV, furgoni e camion."
"Change phone number","Change phone number","Telefonnummer ändern","Modifier le numéro de téléphone","تغيير رقم الهاتف","Cambiar número de teléfono","Cambia numero di telefono"
"Chassis number:","Chassis number:","Fahrgestellnummer:","Numéro de châssis :","رقم الهيكل:","Número de chasis:","Numero di telaio:"
"Chat active","Chat active","Chat aktiv","Chat actif","الدردشة نشطة","Chat activo","Chat attiva"
"Chat with Driver","Chat with Driver","Mit dem Fahrer chatten","Discussion avec le chauffeur","الدردشة مع السائق","Chat con el conductor","Chatta con l'autista"
"Chat with driver","Chat with driver","Mit dem Fahrer chatten","Discuter avec le chauffeur","الدردشة مع السائق","Chatear con el conductor","Chatta con l'autista"
"Checking chat availability…","Checking chat availability…","Chat-Verfügbarkeit wird geprüft…","Vérification de la disponibilité du chat…","جارٍ التحقق من توفر الدردشة…","Comprobando disponibilidad del chat…","Verifica disponibilità chat…"
"Checking chat…","Checking chat…","Chat wird geprüft…","Vérification de la conversation…","جارٍ التحقق من المحادثة…","Revisando el chat…","Verifica della chat…"
"Checking device payment support…","Checking device payment support…","Unterstützung für Zahlungen mit Scheckkarten prüfen…","Vérification de la compatibilité des appareils avec les paiements…","دعم الدفع عبر جهاز التحقق...","Comprobando la compatibilidad con pagos del dispositivo…","Verifica del supporto ai pagamenti sul dispositivo…"
"Choose Payment Method","Choose Payment Method","Zahlungsmethode auswählen","Choisissez votre mode de paiement","اختر طريقة الدفع","Seleccione el método de pago","Scegli metodo di pagamento"
"Choose Service","Choose Service","Service auswählen","Choisir le service","اختر الخدمة","Elegir servicio","Scegli il servizio"
"Choose a suggested address.","Choose a suggested address.","Wählen Sie eine vorgeschlagene Adresse.","Choisissez une adresse suggérée.","اختر عنوانًا مقترحًا.","Elija una dirección sugerida.","Scegli un indirizzo suggerito."
"Choose the app language before confirming the switch.","Choose the app language before confirming the switch.","Wählen Sie die App-Sprache, bevor Sie den Wechsel bestätigen.","Choisissez la langue de l’application avant de confirmer le changement.","اختر لغة التطبيق قبل تأكيد التغيير.","Elige el idioma de la aplicación antes de confirmar el cambio.","Scegli la lingua dell'app prima di confermare la modifica."
"Chosen method","Chosen method","Gewählte Methode","Méthode choisie","الطريقة المختارة","Método elegido","Metodo selezionato"
"Collected amount","Collected amount","Eingezogener Betrag","Montant collecté","المبلغ المحصل","Cantidad recaudada","Importo addebitato"
"Complete your card details to continue.","Complete your card details to continue.","Geben Sie Ihre Kartendaten ein, um fortzufahren.","Veuillez compléter les informations de votre carte pour continuer.","أكمل بيانات بطاقتك للمتابعة.","Introduce los datos de tu tarjeta para continuar.","Completa i dati della carta per continuare."
"Complete your profile","Complete your profile","Vervollständigen Sie Ihr Profil","Complétez votre profil","أكمل ملفك الشخصي","Completa tu perfil","Completa il tuo profilo"
"Completed","Completed","Abgeschlossen","Terminées","مكتمل","Completadas","Completati"
"Condition (optional)","Condition (optional)","Zustand (optional)","Condition (facultative)","الشرط (اختياري)","Condición (opcional)","Condizione (facoltativa)"
"Condition notes:","Condition notes:","Zustandshinweise:","Remarques sur l'état :","ملاحظات حول الحالة:","Notas sobre el estado:","Note sulle condizioni:"
"Condition:","Condition:","Zustand:","Condition:","حالة:","Condición:","Condizione:"
"Confirm","Confirm","Bestätigen","Confirmer","تأكيد","Confirmar","Conferma"
"Confirm Top-Up","Confirm Top-Up","Aufladung bestätigen","Confirmer le rechargement","تأكيد عملية الشحن","Confirmar recarga","Conferma ricarica"
"Confirm and Pay","Confirm and Pay","Bestätigen und bezahlen","Confirmer et payer","تأكيد الدفع","Confirmar y pagar","Conferma e paga"
"Confirm language change","Confirm language change","Sprachwechsel bestätigen","Confirmer le changement de langue","تأكيد تغيير اللغة","Confirmar cambio de idioma","Conferma cambio lingua"
"Confirming this driver charges","Confirming this driver charges","Bestätigung der Gebühren dieses Fahrers","Confirmation des frais de ce chauffeur","تأكيد رسوم هذا السائق","Confirmar estos cargos del conductor","Confermando questo autista verranno addebitati"
"Confirming this driver charges {{amount}} immediately.","Confirming this driver charges {{amount}} immediately.","Bestätigen, dass dieser Treiber {{amount}} sofort lädt.","Confirmation de ce chauffeur : facturation immédiate {{amount}}.","تأكيد رسوم السائق {{amount}} فوراً.","Confirmar que este conductor cobra {{amount}} inmediatamente.","Confermando questo autista verranno addebitati immediatamente {{amount}}."
"Continue","Continue","Weiter","Continuer","متابعة","Continuar","Continua"
"Continue as {{phone}}","Continue as {{phone}}","Weiter als {{phone}}","Continuer en tant que {{phone}}","المتابعة باسم {{phone}}","Continuar como {{phone}}","Continua come {{phone}}"
